Country,Mentions,AverageSentiment
Philadelphia,34,-0.0788
Mexico,31,-0.0732
Beijing,18,-0.0669
Indianapolis,9,-0.0622
New York,65,-0.0612
Los Angeles,24,-0.0487
Tianjin,2,-0.0473
California,106,-0.0460
Indiana,12,-0.0385
Florida,73,-0.0373
Washington,44,-0.0350
San Juan,2,-0.0349
Typhoon,2,-0.0326
Météo,2,-0.0287
Wisconsin,19,-0.0259
Acapulco,2,-0.0259
UK,75,-0.0250
Portugal,6,-0.0226
New Zealand,5,-0.0189
Minneapolis,13,-0.0187
Argentina,10,-0.0169
Hebei,2,-0.0113
Heilongjiang province,2,-0.0092
Cape Coral,2,-0.0088
Italy,15,-0.0084
West Bengal,2,-0.0057
Lexington,2,-0.0041
Fiona,2,-0.0038
Mecca,2,-0.0034
Hanford,2,-0.0034
Rajasthan,2,-0.0016
Polynesia,2,-0.0013
Hong Kong,2,-0.0012
Papua New Guinea,2,-0.0007
West Texas,2,-0.0006
Hollywood,2,0.0002
Gujarat,2,0.0007
Zambia,2,0.0011
the Czech Republic,2,0.0032
St. Paul,2,0.0038
Netflix,2,0.0040
Jordan,2,0.0044
Cedar Rapids,2,0.0065
Niger,2,0.0066
Lake Charles,2,0.0077
Des Moines,6,0.0078
Fargo,2,0.0080
Panama City,2,0.0081
New York City,49,0.0094
Odense,2,0.0101
Albany,2,0.0118
Austria,6,0.0133
Sydney,4,0.0146
Greenland,16,0.0161
Beryl,3,0.0162
Wales,2,0.0183
China,88,0.0221
Riyadh,2,0.0243
Saudi Arabia’s,2,0.0253
Panama,2,0.0259
South Australia,2,0.0261
Omaha,2,0.0285
Liberia,2,0.0301
Singapore,4,0.0413
Barcelona,4,0.0447
New Orleans,16,0.0518
Debby,3,0.0557
Berkeley,2,0.0638
Japan,18,0.0676
Minnesota,18,0.0719
Ukraine,32,0.0773
Nigeria,7,0.0837
DC,18,0.0888
Maine,27,0.0960
the United Kingdom,13,0.0961
Utah,21,0.0967
Pennsylvania,18,0.0980
Wichita,2,0.1061
COP27,34,0.1101
Baton Rouge,3,0.1143
Ireland,7,0.1144
the United States,114,0.1146
Egypt,42,0.1165
Xinjiang,2,0.1238
Bahrain,2,0.1246
San Francisco,13,0.1301
Manhattan,5,0.1305
US,327,0.1311
Bering,2,0.1399
Germany,37,0.1439
Finland,8,0.1472
Oakland,2,0.1490
Fahrenheit,36,0.1578
San Jose,2,0.1581
Kenya,14,0.1647
Los Angeles County,3,0.1655
Indonesia,10,0.1701
n’t,40,0.1701
Nicaragua,3,0.1720
Georgia,20,0.1730
Denmark,7,0.1804
Paris,32,0.1867
Orlando,5,0.1900
Rhode Island,5,0.1936
Boston,25,0.1959
England,10,0.1993
Michigan,16,0.2097
Gulf of Mexico,9,0.2159
London,23,0.2162
Cleveland,10,0.2208
Glasgow,14,0.2226
Cuba,9,0.2238
Hawaii,11,0.2283
Wyoming,12,0.2311
Brazil,12,0.2551
Sicily,3,0.2573
Bolivia,3,0.2656
France,20,0.2792
Australia,36,0.2901
Rapid City,2,0.2952
North Africa,3,0.3064
Mississippi Valley,3,0.3087
the DC area,3,0.3129
Norway,13,0.3134
Tokyo,3,0.3156
Syracuse,5,0.3161
America,31,0.3174
Fiji,3,0.3202
Connecticut,9,0.3213
Namibia,3,0.3218
Fort Myers,3,0.3245
New Hampshire,3,0.3250
Milwaukee,6,0.3291
Jacksonville,3,0.3301
Chongqing,3,0.3303
Puerto Rico’s,3,0.3306
Venice,3,0.3321
Botswana,3,0.3323
Brooklyn,3,0.3332
Duluth,3,0.3357
Russia,33,0.3430
West Africa,3,0.3481
United States,22,0.3532
Miami,8,0.3680
Boise,2,0.3892
Baltimore,10,0.3986
Saudi Arabia,22,0.4006
Switzerland,12,0.4021
Richmond,3,0.4064
Venezuela,2,0.4155
Great Lakes,8,0.4274
The United States,7,0.4303
Dubai,52,0.4374
Peru,6,0.4473
Honduras,5,0.4515
Iran,4,0.4663
Syria,4,0.4701
Chile,4,0.4731
Netherlands,10,0.4843
United Arab Emirates,4,0.4894
Bahamas,7,0.4933
Israel,10,0.5177
U.S.,6,0.5208
Biden,8,0.5280
the United Arab Emirates,17,0.5392
Britain,4,0.5489
Alaska,28,0.5553
South Carolina,5,0.5717
Berlin,5,0.5913
Saharan,3,0.6136
Oman,3,0.6186
Morocco,7,0.6362
Ohio Valley,2,0.6476
The United Arab Emirates,6,0.6508
Taiwan,6,0.6620
Eureka,2,0.7188
Cambridge,2,0.7462
Belize,2,0.7481
New York State,2,0.7486
Miami-Dade County,2,0.8858
Davos,2,0.8901
Daytona Beach,2,0.9293
AI,5,0.9524
Qatar,4,0.9588
Piedmont,2,0.9663
United Kingdom,2,0.9782
Ammonia,2,0.9787
Earthjustice,3,0.9809
Princeton,2,0.9813
Mauritania,2,0.9819
Senegal,2,0.9819
Erie,4,0.9822
Tanzania,2,0.9838
Rhodium,4,0.9845
UAE,3,0.9849
Preserve,2,0.9860
Palo Alto,2,0.9860
Tampa,3,0.9883
New York City’s,2,0.9897
Fort Lauderdale,2,0.9920
The United Kingdom,2,0.9929
Naples,2,0.9936
Tel Aviv,2,0.9938
Stockholm,3,0.9941
San Carlos,2,0.9950
Irma,2,0.9951
Emirati,2,0.9952
Abu Dhabi,7,0.9955
Algae,2,0.9964
Modi,3,0.9974
Nairobi,3,0.9985
Zermatt,2,0.9991
red states,3,0.9993
